Country,Year,Date,Holiday_Name,Local_Name,Type,Description,Holiday_Season,Holiday_Month
IN,2025,2025-03-14,Holi,,"National Holiday, Hinduism","Holi is a spring festival of colors celebrated by Hindus, Sikhs and others. It celebrates the triumph of good over evil and the upcoming season of spring. The festival can last up to sixteen days.",Spring,3
IN,2025,2025-03-14,Dolyatra,,Optional Holiday,Dolyatra is a restricted holiday in India,Spring,3
IN,2025,2025-03-20T14:31:21+05:30,March Equinox,,Season,March Equinox in India (New Delhi),Spring,3
IN,2025,2025-03-28,Jamat Ul-Vida,,Optional Holiday,Jamat Ul-Vida is a restricted holiday in India,Spring,3
IN,2025,2025-03-30,Chaitra Sukhladi,,"Hinduism, Optional Holiday",Chaitra Sukhladi is a restricted holiday in India,Spring,3
IN,2025,2025-03-30,Ugadi,,"Hinduism, Optional Holiday",Ugadi is a restricted holiday in India,Spring,3
IN,2025,2025-03-30,Gudi Padwa,,"Hinduism, Optional Holiday",Gudi Padwa is a restricted holiday in India,Spring,3
IN,2025,2025-03-31,Ramzan Id,,National Holiday,"One day of Eid-ul-Fitar, which marks the end of Ramadan, is a gazetted holiday in India.",Spring,3
IN,2025,2025-04-06,Rama Navami,,"Hinduism, Optional Holiday","Rama Navami is a Hindu festival that celebrates the birth of Rama, the first son of King Dasaratha of Ayodhya.",Spring,4
IN,2025,2025-04-10,Mahavir Jayanti,,National Holiday,Mahavir Jayanti is a gazetted holiday in India,Spring,4
IN,2025,2025-04-13,First day of Passover,,Observance,"During Passover, the Jewish people remember the liberation of the Israelites from slavery, their exodus from Egypt, and that their first-born children were spared during the 10th plague, as told in the Haggadah.",Spring,4
IN,2025,2025-04-13,Vaisakhi,,Optional Holiday,"Vaisakhi, also known as Baisakhi, is a harvest celebration on either April 13 or April 14 in the Gregorian calendar. It is one of India’s most notable celebrations.",Spring,4
IN,2025,2025-04-14,Mesadi,,Optional Holiday,Mesadi is a restricted holiday in India,Spring,4
IN,2025,2025-04-14,Ambedkar Jayanti,,Observance,Ambedkar Jayanti is a observance in India,Spring,4
IN,2025,2025-04-15,Bahag Bihu/Vaisakhadi,,Optional Holiday,Bahag Bihu/Vaisakhadi is a restricted holiday in India,Spring,4
IN,2025,2025-04-17,Maundy Thursday,,"Observance, Christian",Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.,Spring,4
IN,2025,2025-04-18,Good Friday,,National Holiday,Many Christians commemorate Jesus Christ’s crucifixion and death on Good Friday. It is a gazetted holiday in India.,Spring,4
IN,2025,2025-04-20,Easter Day,,Optional Holiday,"Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief.",Spring,4
IN,2025,2025-05-01,International Worker's Day,,Observance,Unknown,Spring,5
IN,2025,2025-05-09,Birthday of Rabindranath,,Optional Holiday,Birthday of Rabindranath is a restricted holiday in India,Spring,5
IN,2025,2025-05-11,Mothers' Day,,Observance,Mother’s Day celebrates the achievements and efforts of mothers and mother figures.,Spring,5
IN,2025,2025-05-12,Buddha Purnima/Vesak,,National Holiday,"Vesak, also known as Buddha Purnima, celebrates of Gautama Buddha's birth, enlightenment and death.",Spring,5
IN,2025,2025-06-07,Bakrid,,National Holiday,"For India's more than 200 million Muslims, Bakrid, the Festival of Sacrifice, is one of the holiest days of the year.",Summer,6
IN,2025,2025-06-15,Fathers' Day,,Observance,Father’s Day celebrates fatherhood and male parenting on different dates worldwide.,Summer,6
IN,2025,2025-06-21T08:12:15+05:30,June Solstice,,Season,June Solstice in India (New Delhi),Summer,6
IN,2025,2025-06-27,Rath Yatra,,"Hinduism, Optional Holiday",Rath Yatra is a restricted holiday in India,Summer,6
IN,2025,2025-07-06,Muharram/Ashura,,National Holiday,"Muharram, or the Islamic New Year, is a public holiday in India.",Summer,7
IN,2025,2025-07-10,Guru Purnima,,Observance,"Guru Purnima is a festival that honors spiritual Gurus by remembering their life and teachings. It is observed on the full moon day, Purnima, in the Hindu month of Ashadh, which is usually June or July.",Summer,7
IN,2025,2025-08-03,Friendship Day,,Observance,"For many Indian people, the first Sunday of August is dedicated to celebrating their best friends.",Summer,8
IN,2025,2025-08-09,Raksha Bandhan (Rakhi),,"Hinduism, Optional Holiday",Raksha Bandhan is a Hindu festival that is celebrated on the full moon of the Hindu month of Shravana (Shravan Poornima). The day is also sometimes referred to as Brother and Sister Day because it honors the relationship between brother and sister.,Summer,8
IN,2025,2025-08-15,Independence Day,,National Holiday,India's Independence Day is an annual gazetted holiday on August 15 to commemorate the day India became an independent nation.,Summer,8
IN,2025,2025-08-15,Janmashtami (Smarta),,"Hinduism, Optional Holiday",Janmashtami (Smarta) is a restricted holiday in India,Summer,8
IN,2025,2025-08-15,Parsi New Year,,Optional Holiday,Parsi New Year is a restricted holiday in India,Summer,8
IN,2025,2025-08-16,Janmashtami,,"National Holiday, Hinduism","Krishna Janmashtami is a Hindu festival that celebrates the birth of Krishna, the eighth incarnation of the god Vishnu. It is celebrated on the eighth day of the Hindu month of Bhadrava (Bhadrapada), which is usually in August or September.",Summer,8
IN,2025,2025-08-27,Ganesh Chaturthi/Vinayaka Chaturthi,,"Hinduism, Optional Holiday","Ganesh Chaturthi is the great Ganesha festival that celebrates the birthday of Lord Ganesha during the Hindu Month of Bhadra, which usually falls between mid-August and mid-September. It is also known as Vinayaka Chaturthi and can last up to 10 days.",Summer,8
IN,2025,2025-09-05,Milad un-Nabi/Id-e-Milad,,National Holiday,Milad un-Nabi is a gazetted holiday in India and marks the Prophet Muhammad's birthday.,Autumn,9
IN,2025,2025-09-05,Onam,,"Hinduism, Optional Holiday",Onam is a restricted holiday in India,Autumn,9
IN,2025,2025-09-22,First Day of Sharad Navratri,,"Observance, Hinduism",First Day of Sharad Navratri is a observance and Hindu holiday in India,Autumn,9
IN,2025,2025-09-22T23:49:22+05:30,September Equinox,,Season,September Equinox in India (New Delhi),Autumn,9
IN,2025,2025-09-28,First Day of Durga Puja Festivities,,"Observance, Hinduism",First Day of Durga Puja Festivities is a observance and Hindu holiday in India,Autumn,9
IN,2025,2025-09-29,Maha Saptami,,Optional Holiday,Maha Saptami is a restricted holiday in India,Autumn,9
IN,2025,2025-09-30,Maha Ashtami,,Optional Holiday,Maha Ashtami is a restricted holiday in India,Autumn,9
IN,2025,2025-10-01,Maha Navami,,Optional Holiday,Maha Navami is a restricted holiday in India,Autumn,10
IN,2025,2025-10-02,Mahatma Gandhi Jayanti,,National Holiday,Mahatma Gandhi's birthday is an annual gazetted holiday in India on October 2.,Autumn,10
IN,2025,2025-10-02,Dussehra,,"National Holiday, Hinduism","Dussehra, also known as Vijaya Dashami, is an Indian festival that celebrates good forces over evil forces. It spans for 10 days and is celebrated in varied traditions across India.",Autumn,10
IN,2025,2025-10-07,Maharishi Valmiki Jayanti,,Optional Holiday,Maharishi Valmiki Jayanti is a restricted holiday in India,Autumn,10
IN,2025,2025-10-10,Karaka Chaturthi (Karva Chauth),,"Hinduism, Optional Holiday","Karwa Chauth is an annual one-day festival that honors the Hindu god Shiva and goddess Parvati. It is celebrated by all married Hindu women on the fourth day after the full moon in the Hindu month of Kartik, which is usually in October.",Autumn,10
IN,2025,2025-10-20,Naraka Chaturdasi,,Optional Holiday,Naraka Chaturdasi is a restricted holiday in India,Autumn,10
IN,2025,2025-10-20,Diwali/Deepavali,,"National Holiday, Hinduism",Diwali is a festival of physical and spiritual light celebrated in October or November each year.,Autumn,10
IN,2025,2025-10-22,Govardhan Puja,,Optional Holiday,Govardhan Puja is a restricted holiday in India,Autumn,10
IN,2025,2025-10-23,Bhai Duj,,"Hinduism, Optional Holiday",Bhai Duj is a Hindu festival that celebrates the relationship between a brother and a sister on the second day after the new moon in the Hindu month of Kartika.,Autumn,10
IN,2025,2025-10-28,Chhat Puja (Pratihar Sashthi/Surya Sashthi),,"Hinduism, Optional Holiday",Chhat Puja (Pratihar Sashthi/Surya Sashthi) is a restricted holiday in India,Autumn,10
IN,2025,2025-10-31,Halloween,,Observance,Halloween is a festive occasion that is celebrated in many countries on October 31 each year.,Autumn,10
IN,2025,2025-11-05,Guru Nanak Jayanti,,National Holiday,Guru Nanak Jayanti is a gazetted holiday in India,Autumn,11
IN,2025,2025-11-24,Guru Tegh Bahadur's Martyrdom Day,,Optional Holiday,Guru Tegh Bahadur's Martyrdom Day is a restricted holiday in India,Autumn,11
IN,2025,2025-12-15,First Day of Hanukkah,,Observance,"Hanukkah, also known as Chanukah or the Festival of Lights, is celebrated for 8 days between the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.",Winter,12
IN,2025,2025-12-21T20:33:05+05:30,December Solstice,,Season,December Solstice in India (New Delhi),Winter,12
IN,2025,2025-12-22,Last day of Hanukkah,,Observance,"Hanukkah, also known as Chanukah or the Festival of Lights, is celebrated for eight days between the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.",Winter,12
IN,2025,2025-12-24,Christmas Eve,,Optional Holiday,Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.,Winter,12
IN,2025,2025-12-25,Christmas,,National Holiday,"Many Christians celebrate Christmas Day, which is a gazetted holiday in India, on December 25 each year.",Winter,12
IN,2025,2025-12-31,New Year's Eve,,Observance,"New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar.",Winter,12
IN,2026,2026-01-01,New Year's Day,,Optional Holiday,New Year’s Day is celebrated many countries such as in India on the January 1 in the Gregorian calendar.,Winter,1
IN,2026,2026-01-03,Hazarat Ali's Birthday,,Optional Holiday,Hazarat Ali's Birthday is a restricted holiday in India,Winter,1
IN,2026,2026-01-14,Pongal,,"Hinduism, Optional Holiday","Many southern states in India, particularly Tamil Nadu, celebrate Pongal as a thanksgiving for the good harvest season in mid-January every year.",Winter,1
IN,2026,2026-01-14,Makar Sankranti,,"Hinduism, Optional Holiday",Makar Sankranti is a restricted holiday in India,Winter,1
IN,2026,2026-01-23,Vasant Panchami,,"Hinduism, Optional Holiday","Vasant Panchami, or India’s spring festival, is a Hindu event that includes special rituals and highlights the start of spring.",Winter,1
IN,2026,2026-01-26,Republic Day,,National Holiday,India's Republic Day marks the anniversary of the adoption of the Indian constitution. It is an annual gazetted holiday in India on January 26.,Winter,1
IN,2026,2026-02-14,Valentine's Day,,Observance,"Valentine’s Day is celebrated in many places worldwide, including in India, on February 14 each year.",Winter,2
IN,2026,2026-02-15,Maha Shivaratri/Shivaratri,,"National Holiday, Hinduism","Maha Shivratri is an annual festival dedicated to Shiva, the Hindu God of destruction. For devotees, is a day of reflection and meditation.",Winter,2
IN,2026,2026-02-17,Lunar New Year,,Observance,Lunar New year is an annual global celebration in many countries including India.,Winter,2
IN,2026,2026-02-19,Ramadan Start,,Observance,"Ramadan is a period of prayer, reflection and fasting for many Muslims worldwide. It is the ninth month in the Islamic calendar.",Winter,2
IN,2026,2026-02-19,Shivaji Jayanti,,Optional Holiday,Shivaji Jayanti is a restricted holiday in India,Winter,2
IN,2026,2026-03-04,Holi,,"National Holiday, Hinduism","Holi is a spring festival of colors celebrated by Hindus, Sikhs and others. It celebrates the triumph of good over evil and the upcoming season of spring. The festival can last up to sixteen days.",Spring,3
IN,2026,2026-03-19,Ugadi,,"Hinduism, Optional Holiday",Ugadi is a restricted holiday in India,Spring,3
IN,2026,2026-03-19,Gudi Padwa,,"Hinduism, Optional Holiday",Gudi Padwa is a restricted holiday in India,Spring,3
IN,2026,2026-03-20T20:16:00+05:30,March Equinox,,Season,March Equinox in India (New Delhi),Spring,3
IN,2026,2026-03-21,Ramzan Id,,National Holiday,"One day of Eid-ul-Fitar, which marks the end of Ramadan, is a gazetted holiday in India.",Spring,3
IN,2026,2026-03-26,Rama Navami,,"National Holiday, Hinduism","Rama Navami is a Hindu festival that celebrates the birth of Rama, the first son of King Dasaratha of Ayodhya.",Spring,3
IN,2026,2026-04-02,First day of Passover,,Observance,"During Passover, the Jewish people remember the liberation of the Israelites from slavery, their exodus from Egypt, and that their first-born children were spared during the 10th plague, as told in the Haggadah.",Spring,4
IN,2026,2026-04-02,Maundy Thursday,,"Observance, Christian",Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.,Spring,4
IN,2026,2026-04-03,Good Friday,,National Holiday,Many Christians commemorate Jesus Christ’s crucifixion and death on Good Friday. It is a gazetted holiday in India.,Spring,4
IN,2026,2026-04-05,Easter Day,,Optional Holiday,"Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief.",Spring,4
IN,2026,2026-04-14,Ambedkar Jayanti,,Observance,Ambedkar Jayanti is a observance in India,Spring,4
IN,2026,2026-05-01,International Worker's Day,,Observance,Unknown,Spring,5
IN,2026,2026-05-10,Mothers' Day,,Observance,Mother’s Day celebrates the achievements and efforts of mothers and mother figures.,Spring,5
IN,2026,2026-05-28,Bakrid,,National Holiday,"For India's more than 200 million Muslims, Bakrid, the Festival of Sacrifice, is one of the holiest days of the year.",Spring,5
IN,2026,2026-06-21,Fathers' Day,,Observance,Father’s Day celebrates fatherhood and male parenting on different dates worldwide.,Summer,6
IN,2026,2026-06-21T13:54:30+05:30,June Solstice,,Season,June Solstice in India (New Delhi),Summer,6
IN,2026,2026-06-26,Muharram/Ashura,,National Holiday,"Muharram, or the Islamic New Year, is a public holiday in India.",Summer,6
IN,2026,2026-07-16,Rath Yatra,,"Hinduism, Optional Holiday",Rath Yatra is a restricted holiday in India,Summer,7
IN,2026,2026-08-02,Friendship Day,,Observance,"For many Indian people, the first Sunday of August is dedicated to celebrating their best friends.",Summer,8
IN,2026,2026-08-15,Independence Day,,National Holiday,India's Independence Day is an annual gazetted holiday on August 15 to commemorate the day India became an independent nation.,Summer,8
IN,2026,2026-08-26,Onam,,"Hinduism, Optional Holiday",Onam is a restricted holiday in India,Summer,8
IN,2026,2026-08-28,Raksha Bandhan (Rakhi),,"Hinduism, Optional Holiday",Raksha Bandhan is a Hindu festival that is celebrated on the full moon of the Hindu month of Shravana (Shravan Poornima). The day is also sometimes referred to as Brother and Sister Day because it honors the relationship between brother and sister.,Summer,8
IN,2026,2026-09-04,Janmashtami,,"National Holiday, Hinduism","Krishna Janmashtami is a Hindu festival that celebrates the birth of Krishna, the eighth incarnation of the god Vishnu. It is celebrated on the eighth day of the Hindu month of Bhadrava (Bhadrapada), which is usually in August or September.",Autumn,9
IN,2026,2026-09-04,Janmashtami (Smarta),,"Hinduism, Optional Holiday",Janmashtami (Smarta) is a restricted holiday in India,Autumn,9
IN,2026,2026-09-14,Ganesh Chaturthi/Vinayaka Chaturthi,,"Hinduism, Optional Holiday","Ganesh Chaturthi is the great Ganesha festival that celebrates the birthday of Lord Ganesha during the Hindu Month of Bhadra, which usually falls between mid-August and mid-September. It is also known as Vinayaka Chaturthi and can last up to 10 days.",Autumn,9
IN,2026,2026-09-23T05:35:13+05:30,September Equinox,,Season,September Equinox in India (New Delhi),Autumn,9
IN,2026,2026-10-02,Mahatma Gandhi Jayanti,,National Holiday,Mahatma Gandhi's birthday is an annual gazetted holiday in India on October 2.,Autumn,10
IN,2026,2026-10-11,First Day of Sharad Navratri,,"Observance, Hinduism",First Day of Sharad Navratri is a observance and Hindu holiday in India,Autumn,10
IN,2026,2026-10-17,First Day of Durga Puja Festivities,,"Observance, Hinduism",First Day of Durga Puja Festivities is a observance and Hindu holiday in India,Autumn,10
IN,2026,2026-10-20,Dussehra,,"National Holiday, Hinduism","Dussehra, also known as Vijaya Dashami, is an Indian festival that celebrates good forces over evil forces. It spans for 10 days and is celebrated in varied traditions across India.",Autumn,10
IN,2026,2026-10-29,Karaka Chaturthi (Karva Chauth),,"Hinduism, Optional Holiday","Karwa Chauth is an annual one-day festival that honors the Hindu god Shiva and goddess Parvati. It is celebrated by all married Hindu women on the fourth day after the full moon in the Hindu month of Kartik, which is usually in October.",Autumn,10
IN,2026,2026-10-31,Halloween,,Observance,Halloween is a festive occasion that is celebrated in many countries on October 31 each year.,Autumn,10
IN,2026,2026-11-08,Diwali/Deepavali,,"National Holiday, Hinduism",Diwali is a festival of physical and spiritual light celebrated in October or November each year.,Autumn,11
IN,2026,2026-11-11,Bhai Duj,,"Hinduism, Optional Holiday",Bhai Duj is a Hindu festival that celebrates the relationship between a brother and a sister on the second day after the new moon in the Hindu month of Kartika.,Autumn,11
IN,2026,2026-11-15,Chhat Puja (Pratihar Sashthi/Surya Sashthi),,"Hinduism, Optional Holiday",Chhat Puja (Pratihar Sashthi/Surya Sashthi) is a restricted holiday in India,Autumn,11
IN,2026,2026-11-24,Guru Tegh Bahadur's Martyrdom Day,,Optional Holiday,Guru Tegh Bahadur's Martyrdom Day is a restricted holiday in India,Autumn,11
IN,2026,2026-12-05,First Day of Hanukkah,,Observance,"Hanukkah, also known as Chanukah or the Festival of Lights, is celebrated for 8 days between the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.",Winter,12
IN,2026,2026-12-12,Last day of Hanukkah,,Observance,"Hanukkah, also known as Chanukah or the Festival of Lights, is celebrated for eight days between the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.",Winter,12
IN,2026,2026-12-22T02:20:14+05:30,December Solstice,,Season,December Solstice in India (New Delhi),Winter,12
IN,2026,2026-12-23,Hazarat Ali's Birthday,,Optional Holiday,Hazarat Ali's Birthday is a restricted holiday in India,Winter,12
IN,2026,2026-12-24,Christmas Eve,,Optional Holiday,Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.,Winter,12
IN,2026,2026-12-25,Christmas,,National Holiday,"Many Christians celebrate Christmas Day, which is a gazetted holiday in India, on December 25 each year.",Winter,12
IN,2026,2026-12-31,New Year's Eve,,Observance,"New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar.",Winter,12
IN,2027,2027-01-01,New Year's Day,,Optional Holiday,New Year’s Day is celebrated many countries such as in India on the January 1 in the Gregorian calendar.,Winter,1
IN,2027,2027-01-15,Pongal,,"Hinduism, Optional Holiday","Many southern states in India, particularly Tamil Nadu, celebrate Pongal as a thanksgiving for the good harvest season in mid-January every year.",Winter,1
IN,2027,2027-01-15,Makar Sankranti,,"Hinduism, Optional Holiday",Makar Sankranti is a restricted holiday in India,Winter,1
IN,2027,2027-01-26,Republic Day,,National Holiday,India's Republic Day marks the anniversary of the adoption of the Indian constitution. It is an annual gazetted holiday in India on January 26.,Winter,1
IN,2027,2027-02-06,Lunar New Year,,Observance,Lunar New year is an annual global celebration in many countries including India.,Winter,2
IN,2027,2027-02-09,Ramadan Start,,Observance,"Ramadan is a period of prayer, reflection and fasting for many Muslims worldwide. It is the ninth month in the Islamic calendar.",Winter,2
IN,2027,2027-02-11,Vasant Panchami,,"Hinduism, Optional Holiday","Vasant Panchami, or India’s spring festival, is a Hindu event that includes special rituals and highlights the start of spring.",Winter,2
IN,2027,2027-02-14,Valentine's Day,,Observance,"Valentine’s Day is celebrated in many places worldwide, including in India, on February 14 each year.",Winter,2
IN,2027,2027-02-19,Shivaji Jayanti,,Optional Holiday,Shivaji Jayanti is a restricted holiday in India,Winter,2
IN,2027,2027-03-06,Maha Shivaratri/Shivaratri,,"National Holiday, Hinduism","Maha Shivratri is an annual festival dedicated to Shiva, the Hindu God of destruction. For devotees, is a day of reflection and meditation.",Spring,3
IN,2027,2027-03-10,Ramzan Id,,National Holiday,"One day of Eid-ul-Fitar, which marks the end of Ramadan, is a gazetted holiday in India.",Spring,3
IN,2027,2027-03-21T01:54:39+05:30,March Equinox,,Season,March Equinox in India (New Delhi),Spring,3
IN,2027,2027-03-22,Holi,,"National Holiday, Hinduism","Holi is a spring festival of colors celebrated by Hindus, Sikhs and others. It celebrates the triumph of good over evil and the upcoming season of spring. The festival can last up to sixteen days.",Spring,3
IN,2027,2027-03-25,Maundy Thursday,,"Observance, Christian",Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.,Spring,3
IN,2027,2027-03-26,Good Friday,,National Holiday,Many Christians commemorate Jesus Christ’s crucifixion and death on Good Friday. It is a gazetted holiday in India.,Spring,3
IN,2027,2027-03-28,Easter Day,,Optional Holiday,"Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief.",Spring,3
IN,2027,2027-04-07,Ugadi,,"Hinduism, Optional Holiday",Ugadi is a restricted holiday in India,Spring,4
IN,2027,2027-04-07,Gudi Padwa,,"Hinduism, Optional Holiday",Gudi Padwa is a restricted holiday in India,Spring,4
IN,2027,2027-04-14,Ambedkar Jayanti,,Observance,Ambedkar Jayanti is a observance in India,Spring,4
IN,2027,2027-04-15,Rama Navami,,"National Holiday, Hinduism","Rama Navami is a Hindu festival that celebrates the birth of Rama, the first son of King Dasaratha of Ayodhya.",Spring,4
IN,2027,2027-04-22,First day of Passover,,Observance,"During Passover, the Jewish people remember the liberation of the Israelites from slavery, their exodus from Egypt, and that their first-born children were spared during the 10th plague, as told in the Haggadah.",Spring,4
IN,2027,2027-05-01,International Worker's Day,,Observance,Unknown,Spring,5
IN,2027,2027-05-09,Mothers' Day,,Observance,Mother’s Day celebrates the achievements and efforts of mothers and mother figures.,Spring,5
IN,2027,2027-05-17,Bakrid,,National Holiday,"For India's more than 200 million Muslims, Bakrid, the Festival of Sacrifice, is one of the holiest days of the year.",Spring,5
IN,2027,2027-06-16,Muharram/Ashura,,National Holiday,"Muharram, or the Islamic New Year, is a public holiday in India.",Summer,6
IN,2027,2027-06-20,Fathers' Day,,Observance,Father’s Day celebrates fatherhood and male parenting on different dates worldwide.,Summer,6
IN,2027,2027-06-21T19:40:49+05:30,June Solstice,,Season,June Solstice in India (New Delhi),Summer,6
IN,2027,2027-07-05,Rath Yatra,,"Hinduism, Optional Holiday",Rath Yatra is a restricted holiday in India,Summer,7
IN,2027,2027-08-01,Friendship Day,,Observance,"For many Indian people, the first Sunday of August is dedicated to celebrating their best friends.",Summer,8
IN,2027,2027-08-15,Independence Day,,National Holiday,India's Independence Day is an annual gazetted holiday on August 15 to commemorate the day India became an independent nation.,Summer,8
IN,2027,2027-08-17,Raksha Bandhan (Rakhi),,"Hinduism, Optional Holiday",Raksha Bandhan is a Hindu festival that is celebrated on the full moon of the Hindu month of Shravana (Shravan Poornima). The day is also sometimes referred to as Brother and Sister Day because it honors the relationship between brother and sister.,Summer,8
IN,2027,2027-08-25,Janmashtami,,"National Holiday, Hinduism","Krishna Janmashtami is a Hindu festival that celebrates the birth of Krishna, the eighth incarnation of the god Vishnu. It is celebrated on the eighth day of the Hindu month of Bhadrava (Bhadrapada), which is usually in August or September.",Summer,8
IN,2027,2027-08-25,Janmashtami (Smarta),,"Hinduism, Optional Holiday",Janmashtami (Smarta) is a restricted holiday in India,Summer,8
IN,2027,2027-09-04,Ganesh Chaturthi/Vinayaka Chaturthi,,"Hinduism, Optional Holiday","Ganesh Chaturthi is the great Ganesha festival that celebrates the birthday of Lord Ganesha during the Hindu Month of Bhadra, which usually falls between mid-August and mid-September. It is also known as Vinayaka Chaturthi and can last up to 10 days.",Autumn,9
IN,2027,2027-09-12,Onam,,"Hinduism, Optional Holiday",Onam is a restricted holiday in India,Autumn,9
IN,2027,2027-09-23T11:31:38+05:30,September Equinox,,Season,September Equinox in India (New Delhi),Autumn,9
IN,2027,2027-09-30,First Day of Sharad Navratri,,"Observance, Hinduism",First Day of Sharad Navratri is a observance and Hindu holiday in India,Autumn,9
IN,2027,2027-10-02,Mahatma Gandhi Jayanti,,National Holiday,Mahatma Gandhi's birthday is an annual gazetted holiday in India on October 2.,Autumn,10
IN,2027,2027-10-05,First Day of Durga Puja Festivities,,"Observance, Hinduism",First Day of Durga Puja Festivities is a observance and Hindu holiday in India,Autumn,10
IN,2027,2027-10-09,Dussehra,,"National Holiday, Hinduism","Dussehra, also known as Vijaya Dashami, is an Indian festival that celebrates good forces over evil forces. It spans for 10 days and is celebrated in varied traditions across India.",Autumn,10
IN,2027,2027-10-18,Karaka Chaturthi (Karva Chauth),,"Hinduism, Optional Holiday","Karwa Chauth is an annual one-day festival that honors the Hindu god Shiva and goddess Parvati. It is celebrated by all married Hindu women on the fourth day after the full moon in the Hindu month of Kartik, which is usually in October.",Autumn,10
IN,2027,2027-10-29,Diwali/Deepavali,,"National Holiday, Hinduism",Diwali is a festival of physical and spiritual light celebrated in October or November each year.,Autumn,10
IN,2027,2027-10-31,Halloween,,Observance,Halloween is a festive occasion that is celebrated in many countries on October 31 each year.,Autumn,10
IN,2027,2027-10-31,Bhai Duj,,"Hinduism, Optional Holiday",Bhai Duj is a Hindu festival that celebrates the relationship between a brother and a sister on the second day after the new moon in the Hindu month of Kartika.,Autumn,10
IN,2027,2027-11-04,Chhat Puja (Pratihar Sashthi/Surya Sashthi),,"Hinduism, Optional Holiday",Chhat Puja (Pratihar Sashthi/Surya Sashthi) is a restricted holiday in India,Autumn,11
IN,2027,2027-11-24,Guru Tegh Bahadur's Martyrdom Day,,Optional Holiday,Guru Tegh Bahadur's Martyrdom Day is a restricted holiday in India,Autumn,11
IN,2027,2027-12-12,Hazarat Ali's Birthday,,Optional Holiday,Hazarat Ali's Birthday is a restricted holiday in India,Winter,12
IN,2027,2027-12-22T08:12:09+05:30,December Solstice,,Season,December Solstice in India (New Delhi),Winter,12
